Table Name : Orderdetails 
Attributes : (`customerNumber`,`orderNumber`,`productCode`,`quantityOrdered`,`priceEach`,`orderLineNumber`)
(381,10188,'S700_2834',29,'96.11',8),
(481,10271,'S32_2509',35,'51.95',7),
(237,10105,'S700_1938',29,'86.61',12),
(103,10262,'S18_3029',32,'81.72',15),
(335,10203,'S18_3278',33,'66.74',11),
(209,10283,'S700_3505',22,'88.15',10),
(379,10108,'S12_1099',33,'165.38',6),
(311,10225,'S24_3856',40,'130.60',4),
(362,10170,'S18_1889',20,'70.07',2),
(211,10341,'S12_1099',45,'192.62',2),
(323,10270,'S18_2949',31,'81.05',10),
(227,10108,'S18_1889',38,'67.76',2),
(187,10289,'S24_2022',45,'41.22',4),
(276,10147,'S18_1889',26,'70.84',3),
(484,10223,'S10_4698',49,'189.79',3),
(424,10278,'S18_3685',31,'114.44',4),
(273,10157,'S24_4278',33,'66.65',4),
(177,10176,'S50_1392',23,'109.96',9),
(273,10252,'S32_2206',36,'36.21',6),
(211,10261,'S18_4522',20,'80.75',9),
(151,10322,'S18_2432',35,'57.12',11),
(443,10103,'S32_3522',45,'63.35',7),
(219,10133,'S24_1785',41,'109.42',5),
(161,10398,'S700_3167',29,'76.80',10),
(487,10153,'S18_3140',31,'125.66',7),
(481,10288,'S24_2887',48,'109.22',8),
(496,10186,'S18_1662',32,'137.19',1),
(167,10399,'S24_1578',57,'104.81',3),
(128,10207,'S18_2238',44,'140.81',6),
(259,10106,'S50_1341',39,'35.78',6),
(334,10392,'S18_3136',29,'103.67',2),
(319,10138,'S24_3432',21,'99.58',13),
(206,10188,'S10_2016',38,'111.80',4),
(250,10119,'S10_4757',46,'112.88',11),
(339,10240,'S18_1129',41,'125.97',3),
(219,10400,'S24_3816',42,'74.64',8),
(496,10278,'S18_1129',34,'114.65',6),
(303,10314,'S24_1444',44,'51.44',11),
(473,10150,'S10_1949',45,'182.16',8),
(125,10247,'S12_1108',44,'195.33',2),
(240,10164,'S700_2824',39,'86.99',4),
(471,10393,'S700_2824',21,'83.95',6),
(481,10274,'S18_1662',41,'129.31',1),
(167,10359,'S12_1108',42,'180.79',8),
(166,10235,'S700_4002',34,'70.33',11),
(124,10264,'S18_4721',20,'124.99',2),
(385,10308,'S24_4278',44,'71.73',8),
(415,10211,'S24_1578',25,'109.32',15),
(303,10144,'S32_4289',20,'56.41',1),
(298,10207,'S18_2432',37,'60.77',13),
(161,10233,'S700_1138',36,'66.00',3),
(187,10404,'S12_1099',64,'163.44',3),
(201,10237,'S18_3782',26,'49.74',1),
(204,10380,'S18_1342',27,'88.36',13),
(237,10302,'S24_2887',45,'104.52',4),
(204,10221,'S700_1938',23,'69.29',4),
(256,10179,'S24_1785',47,'105.04',5),
(151,10142,'S12_1108',33,'166.24',12),
(362,10247,'S50_1514',49,'51.55',4),
(415,10361,'S10_2016',26,'114.18',8),
(321,10253,'S18_1129',26,'130.22',5),
(398,10213,'S18_4933',25,'58.44',2),
(125,10289,'S18_1342',38,'92.47',2),
(357,10332,'S24_3969',41,'34.47',14),
(167,10224,'S24_2360',37,'60.26',4),
(112,10108,'S32_4485',31,'87.76',16),
(125,10110,'S24_1046',36,'72.02',13),
(161,10340,'S32_1374',55,'95.89',2),
(356,10321,'S18_1589',44,'120.71',6),
(465,10258,'S700_2824',45,'86.99',1),
(484,10183,'S12_1666',41,'114.80',5),
(348,10327,'S18_3029',25,'74.84',5),
(406,10184,'S32_2509',33,'52.49',8),
(379,10382,'S24_2300',20,'120.12',3),
(189,10206,'S18_3320',28,'99.21',11),
(334,10107,'S18_2625',29,'52.70',6),
(406,10390,'S32_4485',45,'101.03',12),
(475,10423,'S18_2957',31,'56.21',3),
(239,10272,'S12_3148',27,'123.89',3),
(141,10425,'S12_4473',33,'95.99',4),
(450,10142,'S700_3505',21,'92.16',3),
(282,10418,'S50_4713',40,'72.41',7),
(260,10192,'S24_1628',47,'49.30',6),
(456,10288,'S18_2325',31,'102.98',2),
(323,10167,'S18_3856',34,'84.70',6),
(447,10378,'S24_3371',46,'52.66',6),
(376,10412,'S12_4473',54,'100.73',5),
(173,10244,'S18_1342',40,'99.66',7),
(487,10110,'S18_2795',31,'163.69',1),
(250,10379,'S24_1628',32,'48.80',3),
(144,10319,'S18_3782',44,'54.71',4),
(273,10316,'S700_2610',48,'67.22',18),
(286,10171,'S24_2972',36,'34.74',4),
(321,10410,'S18_3320',44,'81.35',5),
(206,10122,'S18_3782',35,'59.06',16),
(171,10377,'S12_4675',50,'112.86',1),
(187,10351,'S18_3856',20,'104.81',2),
(166,10368,'S24_2766',40,'73.60',2),
(187,10109,'S18_1984',38,'137.98',3),
(369,10248,'S18_4522',42,'87.77',11),
(233,10252,'S18_3782',31,'50.36',5),
(448,10197,'S18_3856',22,'85.75',3),
(323,10309,'S32_4485',50,'93.89',3),
(314,10410,'S18_2949',47,'93.21',1),
(177,10178,'S72_1253',45,'41.71',7),
(124,10225,'S18_4721',35,'135.41',14),
(486,10129,'S10_4757',33,'123.76',2),
(259,10259,'S32_2509',40,'45.99',6),
(361,10108,'S24_4620',31,'67.10',10),
(471,10314,'S32_3207',35,'58.41',9),
(496,10219,'S18_2238',43,'132.62',1),
(303,10259,'S18_2238',30,'134.26',3),
(181,10327,'S700_1938',20,'79.68',7),
(447,10342,'S18_1984',22,'115.22',3),
(202,10159,'S24_3371',50,'49.60',1),
(324,10138,'S18_4933',23,'64.86',8),
(219,10278,'S18_1889',29,'73.15',10),
(412,10197,'S700_1138',23,'60.00',9),
(286,10263,'S12_2823',48,'123.51',1),
(151,10178,'S24_3420',27,'65.75',6),
(186,10110,'S18_2325',33,'115.69',4),
(363,10295,'S10_4757',24,'136.00',1),
(286,10258,'S18_4668',21,'49.81',4),
(260,10162,'S18_1342',48,'87.33',2),
(201,10321,'S18_3232',33,'164.26',11),
(489,10136,'S18_1984',36,'120.91',1),
(131,10124,'S18_2248',42,'58.12',5),
(386,10180,'S32_2206',34,'33.39',4),
(344,10297,'S700_2834',35,'111.53',3),
(353,10321,'S18_1984',25,'142.25',9),
(382,10366,'S18_3232',34,'154.10',1),
(114,10290,'S18_3320',26,'80.36',2),
(381,10319,'S32_2206',29,'35.00',5),
(273,10424,'S700_2824',46,'85.98',1),
(171,10113,'S18_1097',49,'101.50',4),
(448,10218,'S18_2319',22,'110.46',1),
(328,10121,'S10_1678',34,'86.13',5),
(379,10186,'S18_3856',46,'98.46',6),
(144,10283,'S24_2011',42,'99.54',13),
(489,10185,'S700_1938',30,'79.68',10),
(480,10196,'S18_4027',27,'126.39',8),
(166,10107,'S24_1578',25,'96.92',3),
(487,10177,'S18_3259',29,'92.77',11),
(129,10188,'S10_1678',48,'95.70',1),
(237,10239,'S18_3232',47,'135.47',1),
(477,10248,'S18_3259',42,'95.80',14),
(353,10186,'S18_3029',32,'73.12',7),
(323,10138,'S24_1937',22,'33.19',2),
(333,10191,'S18_3278',36,'75.59',6),
(166,10418,'S32_4485',50,'100.01',9),
(209,10254,'S18_2248',36,'55.09',4),
(227,10280,'S24_1937',20,'29.87',12),
(112,10225,'S18_3278',37,'69.96',12),
(379,10253,'S18_2870',37,'114.84',2),
(363,10206,'S700_2824',33,'89.01',1),
(465,10321,'S18_1129',41,'123.14',10),
(125,10246,'S18_2319',22,'100.64',8),
(448,10133,'S24_4278',46,'61.58',4),
(219,10398,'S50_1341',49,'38.84',5),
(242,10150,'S18_3136',26,'97.39',10),
(260,10384,'S24_3151',43,'71.69',2),
(448,10263,'S24_1578',42,'109.32',3),
(415,10220,'S50_1514',30,'56.82',4),
(247,10267,'S24_3191',44,'83.90',4),
(381,10385,'S700_1138',25,'62.00',1),
(350,10173,'S24_2887',23,'98.65',16),
(227,10207,'S24_1444',49,'57.80',4),
(219,10123,'S24_1628',50,'43.27',1),
(141,10350,'S18_3140',44,'135.22',1),
(128,10224,'S32_2206',43,'37.01',2),
(141,10149,'S24_2022',49,'39.87',6),
(219,10356,'S24_2022',26,'42.11',7),
(484,10149,'S24_4258',20,'90.57',1),
(166,10133,'S700_1691',24,'76.73',8),
(172,10416,'S700_1691',23,'88.60',9),
(211,10147,'S18_3482',37,'129.35',9),
(177,10420,'S24_3969',15,'35.29',3),
(181,10253,'S18_1589',24,'103.29',1),
(356,10396,'S24_2011',49,'100.77',6),
(339,10393,'S24_2300',33,'112.46',2),
(166,10104,'S12_3148',34,'131.44',1),
(356,10257,'S18_2957',49,'59.34',3),
(480,10276,'S18_3782',33,'54.71',9),
(339,10131,'S700_2466',40,'86.76',1),
(172,10288,'S24_3969',33,'37.75',3),
(119,10314,'S12_3891',36,'169.56',4),
(382,10226,'S18_1984',24,'129.45',7),
(202,10324,'S18_2238',47,'142.45',8),
(276,10129,'S24_3816',50,'76.31',1),
(334,10361,'S700_1691',20,'88.60',4),
(151,10204,'S18_4933',45,'69.84',6),
(124,10316,'S18_1662',27,'140.34',9),
(487,10181,'S12_4675',36,'107.10',11),
(239,10103,'S32_1268',31,'92.46',3),
(443,10266,'S18_1984',49,'139.41',5),
(276,10349,'S18_3232',48,'164.26',6),
(276,10151,'S32_1268',27,'84.75',10),
(151,10382,'S12_4473',32,'103.10',13),
(181,10232,'S18_4522',23,'78.12',5),
(227,10229,'S12_1666',25,'110.70',13),
(385,10282,'S12_3148',27,'142.02',6),
(462,10230,'S18_4027',42,'142.18',3),
(475,10237,'S24_1578',20,'109.32',8),
(298,10127,'S50_1514',46,'55.65',4),
(496,10362,'S10_4698',22,'182.04',4),
(489,10155,'S18_1662',38,'138.77',5),
(112,10181,'S18_3685',39,'137.04',4),
(206,10133,'S32_1374',23,'80.91',1),
(172,10147,'S12_4675',33,'97.89',4),
(148,10187,'S700_3167',34,'72.00',7),
(278,10363,'S18_3482',24,'124.94',11),
(459,10344,'S18_4409',21,'80.99',4),
(145,10261,'S700_3505',25,'89.15',5),
(424,10204,'S24_1628',45,'46.79',12),
(260,10401,'S18_2581',42,'75.19',3),
(282,10180,'S10_4698',41,'164.61',11),
(307,10188,'S24_1578',25,'95.80',2),
(286,10158,'S24_2000',22,'67.79',1),
(303,10111,'S24_4258',26,'85.70',3),
(145,10363,'S18_3782',32,'52.22',12),
(216,10383,'S24_4048',21,'117.10',4),
(223,10367,'S24_2972',36,'36.25',2),
(181,10332,'S18_3136',40,'100.53',18),
(204,10285,'S700_2834',45,'102.04',13),
(455,10192,'S24_3432',46,'93.16',5),
(486,10257,'S18_3136',37,'83.78',2),
(223,10160,'S12_3380',46,'96.30',6),
(239,10279,'S24_3432',48,'95.30',6),
(320,10178,'S10_4757',24,'131.92',12),
(459,10339,'S24_3151',55,'73.46',13),
(462,10320,'S18_3482',25,'139.64',5),
(240,10363,'S12_3990',34,'68.63',5),
(240,10245,'S10_4962',28,'147.74',2),
(171,10397,'S700_3505',48,'86.15',3),
(314,10127,'S32_3207',29,'60.90',6),
(379,10324,'S32_3522',48,'60.76',4),
(324,10235,'S32_1374',41,'90.90',1),
(424,10111,'S18_3320',39,'91.27',4),
(381,10404,'S12_3990',77,'67.03',4),
(146,10390,'S24_2972',37,'35.87',5),
(202,10283,'S10_4757',25,'130.56',6),
(311,10229,'S32_2509',23,'49.78',3),
(324,10379,'S18_1749',39,'156.40',2),
(167,10234,'S24_3816',31,'78.83',8),
(412,10355,'S24_2360',41,'56.10',3),
(462,10168,'S10_2016',27,'97.53',4),
(240,10137,'S24_1628',26,'40.25',1),
(256,10227,'S24_3191',40,'78.76',15),
(348,10360,'S24_2011',31,'100.77',2),
(496,10255,'S24_2022',37,'37.63',2),
(486,10262,'S24_2841',24,'63.71',10),
(484,10184,'S24_4048',49,'114.73',2),
(424,10194,'S18_4668',41,'47.79',9),
(456,10356,'S18_2795',30,'158.63',1),
(145,10223,'S24_2000',38,'60.94',6),
(298,10354,'S18_3278',36,'69.15',7),
(293,10167,'S10_4757',44,'123.76',9),
(386,10398,'S24_2841',28,'60.29',3),
(250,10312,'S18_1097',32,'101.50',2),
(334,10108,'S24_2360',35,'64.41',15),
(211,10119,'S18_1662',43,'151.38',3),
(209,10165,'S24_2840',27,'31.12',13),
(186,10101,'S24_1937',45,'32.53',3),
(299,10414,'S18_3259',48,'85.71',14),
(204,10418,'S24_4620',10,'66.29',3),
(481,10399,'S12_2823',29,'123.51',5),
(495,10162,'S18_2248',27,'53.28',8),
(369,10377,'S18_1129',35,'124.56',2),
(128,10222,'S700_4002',43,'66.63',2),
(148,10126,'S32_1268',43,'82.83',3),
(321,10363,'S24_3856',31,'113.75',1),
(125,10181,'S18_3482',22,'120.53',16),
(201,10407,'S18_2248',42,'58.12',1),
(256,10164,'S32_3522',49,'57.53',5),
(112,10197,'S72_3212',42,'48.59',12),
(480,10287,'S18_1984',24,'123.76',3),
(450,10292,'S18_3232',21,'147.33',12),
(286,10339,'S700_2610',50,'62.16',9),
(406,10285,'S32_2206',37,'36.61',1),
(475,10173,'S18_4933',39,'58.44',15),
(495,10105,'S700_1138',41,'54.00',5),
(114,10328,'S18_3856',34,'104.81',6),
(286,10176,'S18_4027',36,'140.75',5),
(334,10181,'S24_2972',37,'32.85',8),
(276,10177,'S24_2011',50,'115.52',7),
(452,10195,'S18_2319',35,'112.91',9),
(209,10140,'S18_2432',46,'51.05',2),
(205,10398,'S700_2834',23,'102.04',9),
(187,10301,'S24_3856',50,'122.17',11),
(181,10292,'S32_2509',50,'54.11',10),
(204,10181,'S18_2870',27,'130.68',3),
(260,10276,'S12_2823',43,'150.62',14),
(335,10219,'S12_4473',48,'94.80',2),
(386,10126,'S10_4962',22,'122.62',4),
(344,10210,'S24_3949',29,'56.64',16),
(298,10262,'S700_4002',35,'64.41',7),
(216,10423,'S18_3136',21,'98.44',2),
(223,10164,'S10_4962',21,'143.31',2),
(328,10283,'S72_3212',33,'49.14',12),
(157,10345,'S24_2022',43,'38.98',1),
(121,10232,'S700_3505',48,'86.15',1),
(311,10296,'S700_2466',24,'96.73',4),
(348,10106,'S18_1662',36,'134.04',12),
(216,10325,'S32_2509',38,'44.37',3),
(204,10197,'S700_3962',35,'88.39',11),
(477,10270,'S700_2824',46,'101.15',4),
(131,10162,'S24_2022',43,'38.98',4),
(484,10266,'S18_1589',36,'99.55',2),
(202,10344,'S18_2248',40,'49.04',2),
(471,10354,'S12_3990',23,'76.61',12),
(311,10318,'S10_2016',45,'102.29',4),
(415,10106,'S18_2581',34,'81.10',2),
(177,10358,'S18_4668',30,'46.29',8),
(495,10227,'S18_4409',34,'87.43',11),
(114,10155,'S18_3029',44,'83.44',11),
(455,10129,'S700_2610',45,'72.28',3),
(223,10214,'S18_2795',50,'167.06',1),
(334,10103,'S10_1949',26,'214.30',11),
(121,10134,'S24_1578',35,'94.67',3),
(276,10350,'S24_3151',30,'86.74',9),
(489,10324,'S24_2300',31,'107.34',2),
(144,10215,'S18_2957',31,'56.21',6),
(201,10314,'S12_4473',45,'95.99',14),
(146,10159,'S24_2360',27,'67.18',11),
(161,10229,'S18_4600',41,'119.87',10),
(471,10227,'S18_2325',46,'118.23',7),
(328,10207,'S18_3232',25,'140.55',11),
